Redshift,L,Lmin
0.0645,3.57E+29,9.52E+28
0.1369,9.19E+29,4.60E+29
0.1742,1.18E+30,7.71E+29
0.2046,4.09E+30,1.09E+30
0.2264,2.96E+30,1.36E+30
0.2465,2.66E+30,1.64E+30
0.2682,1.65E+31,1.97E+30
0.2889,1.17E+31,2.32E+30
0.3088,7.70E+31,2.69E+30
0.3319,8.22E+30,3.16E+30
0.3537,1.09E+32,3.64E+30
0.3739,1.05E+31,4.12E+30
0.3921,6.74E+32,4.59E+30
0.4122,1.17E+31,5.13E+30
0.4315,6.56E+30,5.69E+30
0.447,2.75E+31,6.16E+30
0.4651,1.04E+32,6.74E+30
0.4918,4.29E+31,7.64E+30
0.5166,1.41E+32,8.55E+30
0.539,9.78E+31,9.41E+30
0.5563,1.81E+32,1.01E+31
0.5714,6.57E+32,1.07E+31
0.5887,4.53E+31,1.15E+31
0.6096,4.90E+32,1.25E+31
0.6329,2.80E+32,1.36E+31
0.6532,4.69E+33,1.46E+31
0.6728,2.66E+31,1.56E+31
0.6944,3.06E+32,1.68E+31
0.7131,1.68E+33,1.78E+31
0.7334,3.58E+31,1.90E+31
0.7595,3.66E+31,2.06E+31
0.7816,2.63E+33,2.20E+31
0.8038,6.76E+31,2.34E+31
0.8227,3.39E+31,2.47E+31
0.8455,7.08E+31,2.63E+31
0.8667,1.89E+33,2.78E+31
0.8882,4.99E+31,2.94E+31
0.9087,3.30E+33,3.10E+31
0.9292,1.66E+32,3.26E+31
0.9514,8.77E+32,3.44E+31
0.9719,3.26E+33,3.61E+31
0.9976,3.73E+33,3.83E+31
1.0126,6.36E+31,3.96E+31
1.0273,1.50E+32,4.09E+31
1.0449,3.65E+32,4.25E+31
1.0637,2.86E+33,4.43E+31
1.0813,5.29E+33,4.60E+31
1.0957,6.36E+31,4.74E+31
1.1143,1.15E+33,4.92E+31
1.1334,3.00E+33,5.11E+31
1.1573,3.65E+33,5.36E+31
1.1771,9.64E+32,5.57E+31
1.1928,6.30E+32,5.74E+31
1.2105,1.03E+33,5.93E+31
1.2271,7.61E+31,6.12E+31
1.2502,2.28E+32,6.38E+31
1.273,8.60E+32,6.64E+31
1.2902,4.26E+32,6.85E+31
1.3094,9.93E+33,7.08E+31
1.3282,1.09E+33,7.31E+31
1.3449,1.94E+33,7.52E+31
1.3635,1.71E+32,7.75E+31
1.3839,4.33E+33,8.01E+31
1.4,4.45E+32,8.22E+31
1.4207,6.32E+33,8.50E+31
1.4447,4.22E+32,8.82E+31
1.4654,1.84E+33,9.11E+31
1.4814,6.14E+32,9.33E+31
1.495,4.22E+33,9.52E+31
1.513,2.28E+32,9.78E+31
1.5272,1.77E+32,9.99E+31
1.5432,7.23E+32,1.02E+32
1.5614,6.11E+33,1.05E+32
1.5837,1.16E+33,1.08E+32
1.6127,1.17E+35,1.13E+32
1.6331,1.09E+33,1.16E+32
1.6493,3.52E+33,1.18E+32
1.6731,7.19E+33,1.22E+32
1.6961,8.34E+32,1.26E+32
1.721,1.67E+34,1.30E+32
1.7397,8.90E+33,1.33E+32
1.7603,1.40E+33,1.37E+32
1.7765,3.91E+32,1.40E+32
1.7986,3.90E+32,1.43E+32
1.825,2.03E+32,1.48E+32
1.8484,4.34E+32,1.52E+32
1.8752,2.72E+33,1.57E+32
1.8975,7.00E+32,1.61E+32
1.9289,2.72E+33,1.67E+32
1.9493,2.54E+32,1.71E+32
1.9776,5.25E+32,1.77E+32
2.0185,3.47E+34,1.85E+32
2.0566,2.30E+32,1.92E+32
2.0933,1.32E+34,2.00E+32
2.1453,6.51E+32,2.11E+32
2.187,1.46E+33,2.20E+32
2.2329,5.14E+32,2.30E+32
2.2694,1.51E+33,2.38E+32
2.3321,2.80E+33,2.52E+32
2.394,3.68E+33,2.67E+32
2.4585,1.41E+34,2.83E+32
2.5366,1.00E+34,3.02E+32
2.6226,1.18E+34,3.25E+32
2.6926,1.42E+34,3.43E+32
2.7898,8.07E+33,3.70E+32
2.9096,6.78E+33,4.05E+32
3.0043,4.41E+33,4.33E+32
3.1667,2.64E+33,4.84E+32
3.4873,1.36E+35,5.92E+32
